PB8,-,TIM16_CH1,TIM4_CH3,SAI1_CK1,I2C1_SCL,-,-,USART3_RX,COMP1_OUT,FDCAN1_RX,TIM8_CH2,-,TIM1_BKIN,HRTIM1_EEV8,SAI1_MCLK_A,EVENTOUT
PB9,-,TIM17_CH1,TIM4_CH4,SAI1_D2,I2C1_SDA,-,IR_OUT,USART3_TX,COMP2_OUT,FDCAN1_TX,TIM8_CH3,-,TIM1_CH3N,HRTIM1_EEV5,SAI1_FS_A,EVENTOUT
PB10,-,TIM2_CH3,-,-,-,-,-,USART3_TX,LPUART1_RX,-,QUADSPI1_CLK,-,TIM1_BKIN,HRTIM1_FLT3,SAI1_SCK_A,EVENTOUT
PB11,-,TIM2_CH4,-,-,-,-,-,USART3_RX,LPUART1_TX,-,QUADSPI1_BK1_NCS,-,-,HRTIM1_FLT4,-,EVENTOUT
PB12,-,-,TIM5_ETR,-,I2C2_SMBA,SPI2_NSS/I2S2_WS,TIM1_BKIN,USART3_CK,LPUART1_RTS_DE,FDCAN2_RX,-,-,-,HRTIM1_CHC1,-,EVENTOUT
PB13,-,-,-,-,-,SPI2_SCK/I2S2_CK,TIM1_CH1N,USART3_CTS,LPUART1_CTS,FDCAN2_TX,-,-,-,HRTIM1_CHC2,-,EVENTOUT
PB14,-,TIM15_CH1,-,-,-,SPI2_MISO,TIM1_CH2N,USART3_RTS_DE,COMP4_OUT,-,-,-,-,HRTIM1_CHD1,-,EVENTOUT
PB15,RTC_REFIN,TIM15_CH2,TIM15_CH1N,COMP3_OUT,TIM1_CH3N,SPI2_MOSI/I2S2_SD,-,-,-,-,-,-,-,HRTIM1_CHD2,-,EVENTOUT
PC0,-,LPTIM1_IN1,TIM1_CH1,-,-,-,-,-,LPUART1_RX,-,-,-,-,-,-,EVENTOUT
PC1,-,LPTIM1_OUT,TIM1_CH2,-,-,-,-,-,LPUART1_TX,-,QUADSPI1_BK2_IO0,-,-,SAI1_SD_A,-,EVENTOUT
PC2,-,LPTIM1_IN2,TIM1_CH3,COMP3_OUT,-,-,TIM20_CH2,-,-,-,QUADSPI1_BK2_IO1,-,-,-,-,EVENTOUT
PC3,-,LPTIM1_ETR,TIM1_CH4,SAI1_D1,-,-,TIM1_BKIN2,-,-,-,QUADSPI1_BK2_IO2,-,-,SAI1_SD_A,-,EVENTOUT
PC4,-,-,TIM1_ETR,-,I2C2_SCL,-,-,USART1_TX,-,-,QUADSPI1_BK2_IO3,-,-,-,-,EVENTOUT
PC5,-,-,TIM15_BKIN,SAI1_D3,-,-,TIM1_CH4N,USART1_RX,-,-,-,-,-,HRTIM1_EEV10,-,EVENTOUT
PC6,-,-,TIM3_CH1,HRTIM1_EEV10,TIM8_CH1,-,I2S2_MCK,COMP6_OUT,I2C4_SCL,-,-,-,-,HRTIM1_CHF1,-,EVENTOUT
PC7,-,-,TIM3_CH2,HRTIM1_FLT5,TIM8_CH2,-,I2S3_MCK,COMP5_OUT,I2C4_SDA,-,-,-,-,HRTIM1_CHF2,-,EVENTOUT
PC8,-,-,TIM3_CH3,HRTIM1_CHE1,TIM8_CH3,-,TIM20_CH3,COMP7_OUT,I2C3_SCL,-,-,-,-,-,-,EVENTOUT
PC9,-,-,TIM3_CH4,HRTIM1_CHE2,TIM8_CH4,I2SCKIN,TIM8_BKIN2,-,I2C3_SDA,-,-,-,-,-,-,EVENTOUT
PC10,-,-,-,-,TIM8_CH1N,UART4_TX,SPI3_SCK/I2S3_CK,USART3_TX,-,-,-,-,-,HRTIM1_FLT6,-,EVENTOUT
PC11,-,-,-,HRTIM1_EEV2,TIM8_CH2N,UART4_RX,SPI3_MISO,USART3_RX,I2C3_SDA,-,-,-,-,-,-,EVENTOUT
PC12,-,TIM5_CH2,-,HRTIM1_EEV1,TIM8_CH3N,UART5_TX,SPI3_MOSI/I2S3_SD,USART3_CK,-,-,-,-,-,-,UCPD1_FRSTX,EVENTOUT
PC13,-,-,TIM1_BKIN,-,TIM1_CH1N,-,TIM8_CH4N,-,-,-,-,-,-,-,-,EVENTOUT
PC14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD0,-,-,-,-,-,-,TIM8_CH4N,-,-,FDCAN1_RX,-,-,FMC_D2,-,-,EVENTOUT
PD1,-,-,-,-,TIM8_CH4,-,TIM8_BKIN2,-,-,FDCAN1_TX,-,-,FMC_D3,-,-,EVENTOUT
PD2,-,-,TIM3_ETR,-,TIM8_BKIN,UART5_RX,-,-,-,-,-,-,-,-,-,EVENTOUT
PD3,-,-,TIM2_CH1/TIM2_ETR,-,-,-,-,USART2_CTS,-,-,QUADSPI1_BK2_NCS,-,FMC_CLK,-,-,EVENTOUT
PD4,-,-,TIM2_CH2,-,-,-,-,USART2_RTS_DE,-,-,QUADSPI1_BK2_IO0,-,FMC_NOE,-,-,EVENTOUT
PD5,-,-,-,-,-,-,-,USART2_TX,-,-,QUADSPI1_BK2_IO1,-,FMC_NWE,-,-,EVENTOUT
PD6,-,-,TIM2_CH4,SAI1_D1,-,-,-,USART2_RX,-,-,QUADSPI1_BK2_IO2,-,FMC_NWAIT,SAI1_SD_A,-,EVENTOUT
PD7,-,-,TIM2_CH3,-,-,-,-,USART2_CK,-,-,QUADSPI1_BK2_IO3,-,FMC_NCE/FMC_NE1,-,-,EVENTOUT
PD8,-,-,-,-,-,-,-,USART3_TX,-,-,-,-,FMC_D13,-,-,EVENTOUT
PD9,-,-,-,-,-,-,-,USART3_RX,-,-,-,-,FMC_D14,-,-,EVENTOUT
PD10,-,-,-,-,-,-,-,USART3_CK,-,-,-,-,FMC_D15,-,-,EVENTOUT
PD11,-,TIM5_ETR,-,-,I2C4_SMBA,-,-,USART3_CTS,-,-,-,-,FMC_A16,-,-,EVENTOUT
PD12,-,-,TIM4_CH1,-,-,-,-,USART3_RTS_DE,-,-,-,-,FMC_A17,-,-,EVENTOUT
PD13,-,-,TIM4_CH2,-,-,-,-,-,-,-,-,-,FMC_A18,-,-,EVENTOUT
PD14,-,-,TIM4_CH3,-,-,-,-,-,-,-,-,-,FMC_D0,-,-,EVENTOUT
PD15,-,-,TIM4_CH4,-,-,-,SPI2_NSS,-,-,-,-,-,FMC_D1,-,-,EVENTOUT
PE0,-,-,TIM4_ETR,TIM20_CH4N,TIM16_CH1,-,TIM20_ETR,USART1_TX,-,FDCAN1_RXFD,-,-,FMC_NBL0,-,-,EVENTOUT
PE1,-,-,-,-,TIM17_CH1,-,TIM20_CH4,USART1_RX,-,-,-,-,FMC_NBL1,-,-,EVENTOUT
PE2,TRACECK,-,TIM3_CH1,SAI1_CK1,-,SPI4_SCK,TIM20_CH1,-,-,-,-,-,FMC_A23,SAI1_MCLK_A,-,EVENTOUT
PE3,TRACED0,-,TIM3_CH2,-,-,SPI4_NSS,TIM20_CH2,-,-,-,-,-,FMC_A19,SAI1_SD_B,-,EVENTOUT
PE4,TRACED1,-,TIM3_CH3,SAI1_D2,-,SPI4_NSS,TIM20_CH1N,-,-,-,-,-,FMC_A20,SAI1_FS_A,-,EVENTOUT
PE5,TRACED2,-,TIM3_CH4,SAI1_CK2,-,SPI4_MISO,TIM20_CH2N,-,-,-,-,-,FMC_A21,SAI1_SCK_A,-,EVENTOUT
PE6,TRACED3,-,-,SAI1_D1,-,SPI4_MOSI,TIM20_CH3N,-,-,-,-,-,FMC_A22,SAI1_SD_A,-,EVENTOUT
PE7,-,-,TIM1_ETR,-,-,-,-,-,-,-,-,-,FMC_D4,SAI1_SD_B,-,EVENTOUT
PE8,-,TIM5_CH3,TIM1_CH1N,-,-,-,-,-,-,-,-,-,FMC_D5,SAI1_SCK_B,-,EVENTOUT
PE9,-,TIM5_CH4,TIM1_CH1,-,-,-,-,-,-,-,-,-,FMC_D6,SAI1_FS_B,-,EVENTOUT
PE10,-,-,TIM1_CH2N,-,-,-,-,-,-,-,QUADSPI1_CLK,-,FMC_D7,SAI1_MCLK_B,-,EVENTOUT
PE11,-,-,TIM1_CH2,-,-,SPI4_NSS,-,-,-,-,QUADSPI1_BK1_NCS,-,FMC_D8,-,-,EVENTOUT
PE12,-,-,TIM1_CH3N,-,-,SPI4_SCK,-,-,-,-,QUADSPI1_BK1_IO0,-,FMC_D9,-,-,EVENTOUT
PE13,-,-,TIM1_CH3,-,-,SPI4_MISO,-,-,-,-,QUADSPI1_BK1_IO1,-,FMC_D10,-,-,EVENTOUT
PE14,-,-,TIM1_CH4,-,-,SPI4_MOSI,TIM1_BKIN2,-,-,-,QUADSPI1_BK1_IO2,-,FMC_D11,-,-,EVENTOUT
PE15,-,-,TIM1_BKIN,-,-,-,TIM1_CH4N,USART3_RX,-,-,QUADSPI1_BK1_IO3,-,FMC_D12,-,-,EVENTOUT
PF0,-,-,-,-,I2C2_SDA,SPI2_NSS/I2S2_WS,TIM1_CH3N,-,-,-,-,-,-,-,-,EVENTOUT
PF1,-,-,-,-,-,SPI2_SCK/I2S2_CK,-,-,-,-,-,-,-,-,-,EVENTOUT
PF2,-,-,TIM20_CH3,-,I2C2_SMBA,-,-,-,-,-,-,-,FMC_A2,-,-,EVENTOUT
PF3,-,-,TIM20_CH4,-,I2C3_SCL,-,-,-,-,-,-,-,FMC_A3,-,-,EVENTOUT
PF4,-,-,COMP1_OUT,TIM20_CH1N,I2C3_SDA,-,-,-,-,-,-,-,FMC_A4,-,-,EVENTOUT
PF5,-,-,TIM20_CH2N,-,-,-,-,-,-,-,-,-,FMC_A5,-,-,EVENTOUT
PF6,-,TIM5_ETR,TIM4_CH4,SAI1_SD_B,I2C2_SCL,-,TIM5_CH1,USART3_RTS,-,-,QUADSPI1_BK1_IO3,-,-,-,-,EVENTOUT
PF7,-,-,TIM20_BKIN,-,-,-,TIM5_CH2,-,-,-,QUADSPI1_BK1_IO2,-,FMC_A1,SAI1_MCLK_B,-,EVENTOUT
PF8,-,-,TIM20_BKIN2,-,-,-,TIM5_CH3,-,-,-,QUADSPI1_BK1_IO0,-,FMC_A24,SAI1_SCK_B,-,EVENTOUT
PF9,-,-,TIM20_BKIN,TIM15_CH1,-,SPI2_SCK,TIM5_CH4,-,-,-,QUADSPI1_BK1_IO1,-,FMC_A25,SAI1_FS_B,-,EVENTOUT
PF10,-,-,TIM20_BKIN2,TIM15_CH2,-,SPI2_SCK,-,-,-,-,QUADSPI1_CLK,-,FMC_A0,SAI1_D3,-,EVENTOUT
PF11,-,-,TIM20_ETR,-,-,-,-,-,-,-,-,-,FMC_NE4,-,-,EVENTOUT
PF12,-,-,TIM20_CH1,-,-,-,-,-,-,-,-,-,FMC_A6,-,-,EVENTOUT
PF13,-,-,TIM20_CH2,-,I2C4_SMBA,-,-,-,-,-,-,-,FMC_A7,-,-,EVENTOUT
PF14,-,-,TIM20_CH3,-,I2C4_SCL,-,-,-,-,-,-,-,FMC_A8,-,-,EVENTOUT
PF15,-,-,TIM20_CH4,-,I2C4_SDA,-,-,-,-,-,-,-,FMC_A9,-,-,EVENTOUT
PG0,-,-,TIM20_CH1N,-,-,-,-,-,-,-,-,-,FMC_A10,-,-,EVENTOUT
PG1,-,-,TIM20_CH2N,-,-,-,-,-,-,-,-,-,FMC_A11,-,-,EVENTOUT
PG2,-,-,TIM20_CH3N,-,-,SPI1_SCK,-,-,-,-,-,-,FMC_A12,-,-,EVENTOUT
PG3,-,-,TIM20_BKIN,-,I2C4_SCL,SPI1_MISO,TIM20_CH4N,-,-,-,-,-,FMC_A13,-,-,EVENTOUT
PG4,-,-,TIM20_BKIN2,-,I2C4_SDA,SPI1_MOSI,-,-,-,-,-,-,FMC_A14,-,-,EVENTOUT
PG5,-,-,TIM20_ETR,-,-,SPI1_NSS,-,-,LPUART1_CTS,-,-,-,FMC_A15,-,-,EVENTOUT
PG6,-,-,TIM20_BKIN,-,I2C3_SMBA,-,-,-,LPUART1_RTS_DE,-,-,-,FMC_INT,-,-,EVENTOUT
PG7,-,-,-,SAI1_CK1,I2C3_SCL,-,-,-,LPUART1_TX,-,-,-,FMC_INT,SAI1_MCLK_A,-,EVENTOUT
PG8,-,-,-,-,I2C3_SDA,-,-,-,LPUART1_RX,-,-,-,FMC_NE3,-,-,EVENTOUT
PG9,-,-,-,-,-,-,SPI3_SCK,USART1_TX,-,-,-,-,FMC_NCE/FMC_NE2,-,TIM15_CH1N,EVENTOUT
PG10,MCO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
